id,filepath,label,subset
26,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_4.jpg,babesia,train
27,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_5.jpg,babesia,test
28,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_6.jpg,babesia,train
29,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_7.jpg,babesia,test
30,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_8.jpg,babesia,train
31,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_9.jpg,babesia,train
32,D:\LocalUser\42177 Project\raw\Babesia\0109_142222_1.jpg,babesia,val
33,D:\LocalUser\42177 Project\raw\Babesia\0109_142222_2.jpg,babesia,train
34,D:\LocalUser\42177 Project\raw\Babesia\0109_142222_3.jpg,babesia,train
35,D:\LocalUser\42177 Project\raw\Babesia\0109_142222_4.jpg,babesia,train
36,D:\LocalUser\42177 Project\raw\Babesia\0109_142222_5.jpg,babesia,train
37,D:\LocalUser\42177 Project\raw\Babesia\0109_142222_6.jpg,babesia,val
38,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_1.jpg,babesia,val
39,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_2.jpg,babesia,test
40,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_3.jpg,babesia,val
41,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_4.jpg,babesia,test
42,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_5.jpg,babesia,test
43,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_6.jpg,babesia,test
44,D:\LocalUser\42177 Project\raw\Babesia\0109_142300_7.jpg,babesia,test
45,D:\LocalUser\42177 Project\raw\Babesia\0109_142330_1.jpg,babesia,train
46,D:\LocalUser\42177 Project\raw\Babesia\0109_142330_2.jpg,babesia,train
47,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_1.jpg,babesia,train
48,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_10.jpg,babesia,test
49,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_2.jpg,babesia,train
50,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_3.jpg,babesia,train
51,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_4.jpg,babesia,val
52,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_5.jpg,babesia,train
53,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_6.jpg,babesia,train
54,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_7.jpg,babesia,train
55,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_8.jpg,babesia,test
56,D:\LocalUser\42177 Project\raw\Babesia\0109_142411_9.jpg,babesia,train
57,D:\LocalUser\42177 Project\raw\Babesia\0109_142434_1.jpg,babesia,train
58,D:\LocalUser\42177 Project\raw\Babesia\0109_142459_1.jpg,babesia,train
59,D:\LocalUser\42177 Project\raw\Babesia\0109_142459_2.jpg,babesia,train
60,D:\LocalUser\42177 Project\raw\Babesia\0109_142528_1.jpg,babesia,val
61,D:\LocalUser\42177 Project\raw\Babesia\0109_142528_2.jpg,babesia,train
62,D:\LocalUser\42177 Project\raw\Babesia\0109_142555_1.jpg,babesia,train
63,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_1.jpg,babesia,test
64,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_2.jpg,babesia,train
65,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_3.jpg,babesia,test
66,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_4.jpg,babesia,train
67,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_5.jpg,babesia,train
68,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_6.jpg,babesia,train
69,D:\LocalUser\42177 Project\raw\Babesia\0109_142647_7.jpg,babesia,val
70,D:\LocalUser\42177 Project\raw\Babesia\0109_142707_1.jpg,babesia,test
71,D:\LocalUser\42177 Project\raw\Babesia\0109_142707_2.jpg,babesia,test
72,D:\LocalUser\42177 Project\raw\Babesia\0109_142707_3.jpg,babesia,train
73,D:\LocalUser\42177 Project\raw\Babesia\0109_142707_4.jpg,babesia,train
74,D:\LocalUser\42177 Project\raw\Babesia\0109_142732_1.jpg,babesia,test
75,D:\LocalUser\42177 Project\raw\Babesia\0109_142732_2.jpg,babesia,val
76,D:\LocalUser\42177 Project\raw\Babesia\0109_142732_3.jpg,babesia,train
77,D:\LocalUser\42177 Project\raw\Babesia\0109_142732_4.jpg,babesia,train
78,D:\LocalUser\42177 Project\raw\Babesia\0109_142732_5.jpg,babesia,train
79,D:\LocalUser\42177 Project\raw\Babesia\0109_142800_1.jpg,babesia,train
80,D:\LocalUser\42177 Project\raw\Babesia\0109_142800_2.jpg,babesia,test
81,D:\LocalUser\42177 Project\raw\Babesia\0109_142819_1.jpg,babesia,test
82,D:\LocalUser\42177 Project\raw\Babesia\0109_142856_1.jpg,babesia,train
83,D:\LocalUser\42177 Project\raw\Babesia\0109_142856_2.jpg,babesia,train
84,D:\LocalUser\42177 Project\raw\Babesia\0109_142856_3.jpg,babesia,train
85,D:\LocalUser\42177 Project\raw\Babesia\0109_142856_4.jpg,babesia,train
86,D:\LocalUser\42177 Project\raw\Babesia\0109_142934_1.jpg,babesia,train
87,D:\LocalUser\42177 Project\raw\Babesia\0109_142934_2.jpg,babesia,val
88,D:\LocalUser\42177 Project\raw\Babesia\0109_142934_3.jpg,babesia,test
89,D:\LocalUser\42177 Project\raw\Babesia\0109_143018_1.jpg,babesia,train
90,D:\LocalUser\42177 Project\raw\Babesia\0109_143108_1.jpg,babesia,val
91,D:\LocalUser\42177 Project\raw\Babesia\0109_143108_2.jpg,babesia,train
92,D:\LocalUser\42177 Project\raw\Babesia\0109_143144_1.jpg,babesia,val
93,D:\LocalUser\42177 Project\raw\Babesia\0109_143144_2.jpg,babesia,train
94,D:\LocalUser\42177 Project\raw\Babesia\0109_143222_1.jpg,babesia,train
95,D:\LocalUser\42177 Project\raw\Babesia\0109_143222_2.jpg,babesia,test
96,D:\LocalUser\42177 Project\raw\Babesia\0109_143222_3.jpg,babesia,train
97,D:\LocalUser\42177 Project\raw\Babesia\0109_143222_4.jpg,babesia,val
98,D:\LocalUser\42177 Project\raw\Babesia\0109_143222_5.jpg,babesia,train
99,D:\LocalUser\42177 Project\raw\Babesia\0109_143236_1.jpg,babesia,train
100,D:\LocalUser\42177 Project\raw\Babesia\0109_143236_2.jpg,babesia,train
101,D:\LocalUser\42177 Project\raw\Babesia\0109_143236_3.jpg,babesia,train
102,D:\LocalUser\42177 Project\raw\Babesia\0109_143236_4.jpg,babesia,train
103,D:\LocalUser\42177 Project\raw\Babesia\0109_143236_5.jpg,babesia,test
104,D:\LocalUser\42177 Project\raw\Babesia\0109_143309_1.jpg,babesia,test
105,D:\LocalUser\42177 Project\raw\Babesia\0109_143309_2.jpg,babesia,train
106,D:\LocalUser\42177 Project\raw\Babesia\0109_143309_3.jpg,babesia,test
107,D:\LocalUser\42177 Project\raw\Babesia\0109_143309_4.jpg,babesia,train
108,D:\LocalUser\42177 Project\raw\Babesia\0109_143309_5.jpg,babesia,train
109,D:\LocalUser\42177 Project\raw\Babesia\0109_143403_1.jpg,babesia,train
110,D:\LocalUser\42177 Project\raw\Babesia\0109_143403_2.jpg,babesia,train
111,D:\LocalUser\42177 Project\raw\Babesia\0109_143426_1.jpg,babesia,train
112,D:\LocalUser\42177 Project\raw\Babesia\0109_143426_2.jpg,babesia,train
113,D:\LocalUser\42177 Project\raw\Babesia\0109_143426_3.jpg,babesia,train
114,D:\LocalUser\42177 Project\raw\Babesia\0109_143426_4.jpg,babesia,train
115,D:\LocalUser\42177 Project\raw\Babesia\0109_143501_1.jpg,babesia,test
116,D:\LocalUser\42177 Project\raw\Babesia\0109_143501_2.jpg,babesia,train
117,D:\LocalUser\42177 Project\raw\Babesia\0109_143515_1.jpg,babesia,train
118,D:\LocalUser\42177 Project\raw\Babesia\0109_143515_2.jpg,babesia,val
119,D:\LocalUser\42177 Project\raw\Babesia\0109_143515_3.jpg,babesia,train
120,D:\LocalUser\42177 Project\raw\Babesia\0109_143515_4.jpg,babesia,train
121,D:\LocalUser\42177 Project\raw\Babesia\0109_143515_5.jpg,babesia,val
122,D:\LocalUser\42177 Project\raw\Babesia\0109_143531_1.jpg,babesia,train
123,D:\LocalUser\42177 Project\raw\Babesia\0109_143531_2.jpg,babesia,train
124,D:\LocalUser\42177 Project\raw\Babesia\0109_143531_3.jpg,babesia,train
125,D:\LocalUser\42177 Project\raw\Babesia\0109_143531_4.jpg,babesia,train
126,D:\LocalUser\42177 Project\raw\Babesia\0109_143607_1.jpg,babesia,train
127,D:\LocalUser\42177 Project\raw\Babesia\0109_143607_2.jpg,babesia,test
128,D:\LocalUser\42177 Project\raw\Babesia\0109_143607_3.jpg,babesia,val
129,D:\LocalUser\42177 Project\raw\Babesia\0109_143607_4.jpg,babesia,train
130,D:\LocalUser\42177 Project\raw\Babesia\0109_143607_5.jpg,babesia,train
131,D:\LocalUser\42177 Project\raw\Babesia\0109_143607_6.jpg,babesia,test
132,D:\LocalUser\42177 Project\raw\Babesia\0109_143651_1.jpg,babesia,val
133,D:\LocalUser\42177 Project\raw\Babesia\0109_143651_2.jpg,babesia,val
134,D:\LocalUser\42177 Project\raw\Babesia\0109_143651_3.jpg,babesia,test
135,D:\LocalUser\42177 Project\raw\Babesia\0109_143651_4.jpg,babesia,train
136,D:\LocalUser\42177 Project\raw\Babesia\0109_143651_5.jpg,babesia,train
137,D:\LocalUser\42177 Project\raw\Babesia\0109_143723_1.jpg,babesia,test
138,D:\LocalUser\42177 Project\raw\Babesia\0109_143723_2.jpg,babesia,train
139,D:\LocalUser\42177 Project\raw\Babesia\0109_143723_3.jpg,babesia,test
140,D:\LocalUser\42177 Project\raw\Babesia\0109_143723_4.jpg,babesia,train
141,D:\LocalUser\42177 Project\raw\Babesia\0109_143723_5.jpg,babesia,test
142,D:\LocalUser\42177 Project\raw\Babesia\0109_143807_1.jpg,babesia,val
143,D:\LocalUser\42177 Project\raw\Babesia\0109_143807_2.jpg,babesia,val
144,D:\LocalUser\42177 Project\raw\Babesia\0109_143807_3.jpg,babesia,train
145,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_1.jpg,babesia,train
146,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_2.jpg,babesia,val
147,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_3.jpg,babesia,train
148,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_4.jpg,babesia,train
149,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_5.jpg,babesia,val
150,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_6.jpg,babesia,train
151,D:\LocalUser\42177 Project\raw\Babesia\0109_143832_7.jpg,babesia,train
152,D:\LocalUser\42177 Project\raw\Babesia\0109_143853_1.jpg,babesia,train
153,D:\LocalUser\42177 Project\raw\Babesia\0109_143853_2.jpg,babesia,val
154,D:\LocalUser\42177 Project\raw\Babesia\0109_143853_3.jpg,babesia,val
155,D:\LocalUser\42177 Project\raw\Babesia\0109_143932_1.jpg,babesia,test
156,D:\LocalUser\42177 Project\raw\Babesia\0109_143932_2.jpg,babesia,val
157,D:\LocalUser\42177 Project\raw\Babesia\0109_144008_1.jpg,babesia,train
158,D:\LocalUser\42177 Project\raw\Babesia\0109_144008_2.jpg,babesia,train
159,D:\LocalUser\42177 Project\raw\Babesia\0109_144008_3.jpg,babesia,test
160,D:\LocalUser\42177 Project\raw\Babesia\0109_144008_4.jpg,babesia,val
161,D:\LocalUser\42177 Project\raw\Babesia\0109_144223_1.jpg,babesia,val
162,D:\LocalUser\42177 Project\raw\Babesia\0109_144223_2.jpg,babesia,train
163,D:\LocalUser\42177 Project\raw\Babesia\0109_144223_3.jpg,babesia,train
164,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_1.jpg,babesia,train
165,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_2.jpg,babesia,train
166,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_3.jpg,babesia,test
167,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_4.jpg,babesia,train
168,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_5.jpg,babesia,val
169,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_6.jpg,babesia,train
170,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_7.jpg,babesia,train
171,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_8.jpg,babesia,train
172,D:\LocalUser\42177 Project\raw\Babesia\0109_144415_9.jpg,babesia,train
173,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_1.jpg,babesia,test
174,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_2.jpg,babesia,train
175,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_3.jpg,babesia,train
176,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_4.jpg,babesia,val
177,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_5.jpg,babesia,test
178,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_6.jpg,babesia,train
179,D:\LocalUser\42177 Project\raw\Babesia\0109_144453_7.jpg,babesia,train
180,D:\LocalUser\42177 Project\raw\Babesia\0109_144519_1.jpg,babesia,test
181,D:\LocalUser\42177 Project\raw\Babesia\0109_144519_2.jpg,babesia,train
182,D:\LocalUser\42177 Project\raw\Babesia\0109_144519_3.jpg,babesia,train
183,D:\LocalUser\42177 Project\raw\Babesia\0109_144519_4.jpg,babesia,train
184,D:\LocalUser\42177 Project\raw\Babesia\0109_144555_1.jpg,babesia,val
185,D:\LocalUser\42177 Project\raw\Babesia\0109_144555_2.jpg,babesia,train
186,D:\LocalUser\42177 Project\raw\Babesia\0109_144555_3.jpg,babesia,train
187,D:\LocalUser\42177 Project\raw\Babesia\0109_144555_4.jpg,babesia,train
188,D:\LocalUser\42177 Project\raw\Babesia\0109_144555_5.jpg,babesia,train
189,D:\LocalUser\42177 Project\raw\Babesia\0109_144555_6.jpg,babesia,train
190,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_1.jpg,babesia,test
191,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_2.jpg,babesia,train
192,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_3.jpg,babesia,train
193,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_4.jpg,babesia,val
194,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_5.jpg,babesia,test
195,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_6.jpg,babesia,train
196,D:\LocalUser\42177 Project\raw\Babesia\0109_144606_7.jpg,babesia,val
197,D:\LocalUser\42177 Project\raw\Babesia\0109_144626_1.jpg,babesia,train
198,D:\LocalUser\42177 Project\raw\Babesia\0109_144626_2.jpg,babesia,test
199,D:\LocalUser\42177 Project\raw\Babesia\0109_144626_3.jpg,babesia,test
200,D:\LocalUser\42177 Project\raw\Babesia\0109_144626_4.jpg,babesia,test
201,D:\LocalUser\42177 Project\raw\Babesia\0109_144626_5.jpg,babesia,train
202,D:\LocalUser\42177 Project\raw\Babesia\0109_144626_6.jpg,babesia,test
203,D:\LocalUser\42177 Project\raw\Babesia\0109_144637_1.jpg,babesia,train
204,D:\LocalUser\42177 Project\raw\Babesia\0109_144637_2.jpg,babesia,test
205,D:\LocalUser\42177 Project\raw\Babesia\0109_144637_3.jpg,babesia,val
206,D:\LocalUser\42177 Project\raw\Babesia\0109_144637_4.jpg,babesia,test
207,D:\LocalUser\42177 Project\raw\Babesia\0109_144654_1.jpg,babesia,val
208,D:\LocalUser\42177 Project\raw\Babesia\0109_144654_2.jpg,babesia,val
209,D:\LocalUser\42177 Project\raw\Babesia\0109_144654_3.jpg,babesia,train
210,D:\LocalUser\42177 Project\raw\Babesia\0109_144654_4.jpg,babesia,val
211,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_1.jpg,babesia,val
212,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_2.jpg,babesia,val
213,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_3.jpg,babesia,train
214,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_4.jpg,babesia,val
215,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_5.jpg,babesia,train
216,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_6.jpg,babesia,val
217,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_7.jpg,babesia,train
218,D:\LocalUser\42177 Project\raw\Babesia\0109_144708_8.jpg,babesia,val
219,D:\LocalUser\42177 Project\raw\Babesia\0109_144717_1.jpg,babesia,test
220,D:\LocalUser\42177 Project\raw\Babesia\0109_144717_2.jpg,babesia,val
221,D:\LocalUser\42177 Project\raw\Babesia\0109_144717_3.jpg,babesia,train
222,D:\LocalUser\42177 Project\raw\Babesia\0109_144726_1.jpg,babesia,test
223,D:\LocalUser\42177 Project\raw\Babesia\0109_144726_2.jpg,babesia,test
224,D:\LocalUser\42177 Project\raw\Babesia\0109_144726_3.jpg,babesia,val
225,D:\LocalUser\42177 Project\raw\Babesia\0109_144726_4.jpg,babesia,train
226,D:\LocalUser\42177 Project\raw\Babesia\0109_144726_5.jpg,babesia,val
227,D:\LocalUser\42177 Project\raw\Babesia\0109_144726_6.jpg,babesia,val
228,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_1.jpg,babesia,train
229,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_2.jpg,babesia,train
230,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_3.jpg,babesia,train
231,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_4.jpg,babesia,val
232,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_5.jpg,babesia,val
233,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_6.jpg,babesia,val
234,D:\LocalUser\42177 Project\raw\Babesia\0109_144739_7.jpg,babesia,val
235,D:\LocalUser\42177 Project\raw\Babesia\0109_144756_1.jpg,babesia,train
236,D:\LocalUser\42177 Project\raw\Babesia\0109_144756_2.jpg,babesia,train
237,D:\LocalUser\42177 Project\raw\Babesia\0109_144756_3.jpg,babesia,test
238,D:\LocalUser\42177 Project\raw\Babesia\0109_144756_4.jpg,babesia,test
239,D:\LocalUser\42177 Project\raw\Babesia\0109_144756_5.jpg,babesia,train
240,D:\LocalUser\42177 Project\raw\Babesia\0109_144756_6.jpg,babesia,train
241,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_1.jpg,babesia,train
242,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_2.jpg,babesia,train
243,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_3.jpg,babesia,test
244,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_4.jpg,babesia,val
245,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_5.jpg,babesia,train
246,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_6.jpg,babesia,train
247,D:\LocalUser\42177 Project\raw\Babesia\0109_144808_7.jpg,babesia,train
248,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_1.jpg,babesia,test
249,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_10.jpg,babesia,train
250,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_2.jpg,babesia,train
251,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_3.jpg,babesia,val
252,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_4.jpg,babesia,train
253,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_5.jpg,babesia,test
254,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_6.jpg,babesia,train
255,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_7.jpg,babesia,test
256,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_8.jpg,babesia,train
257,D:\LocalUser\42177 Project\raw\Babesia\0109_144828_9.jpg,babesia,train
258,D:\LocalUser\42177 Project\raw\Babesia\0109_144849_1.jpg,babesia,train
259,D:\LocalUser\42177 Project\raw\Babesia\0109_144849_2.jpg,babesia,test
260,D:\LocalUser\42177 Project\raw\Babesia\0109_144849_3.jpg,babesia,train
261,D:\LocalUser\42177 Project\raw\Babesia\0109_144849_4.jpg,babesia,val
262,D:\LocalUser\42177 Project\raw\Babesia\0109_144849_5.jpg,babesia,train
263,D:\LocalUser\42177 Project\raw\Babesia\0109_144849_6.jpg,babesia,train
264,D:\LocalUser\42177 Project\raw\Babesia\0109_144902_1.jpg,babesia,train
265,D:\LocalUser\42177 Project\raw\Babesia\0109_144902_2.jpg,babesia,val
266,D:\LocalUser\42177 Project\raw\Babesia\0109_144915_1.jpg,babesia,train
267,D:\LocalUser\42177 Project\raw\Babesia\0109_144915_2.jpg,babesia,test
268,D:\LocalUser\42177 Project\raw\Babesia\0109_144915_3.jpg,babesia,train
269,D:\LocalUser\42177 Project\raw\Babesia\0109_144915_4.jpg,babesia,test
270,D:\LocalUser\42177 Project\raw\Babesia\0109_144915_5.jpg,babesia,train
271,D:\LocalUser\42177 Project\raw\Babesia\0109_144955_1.jpg,babesia,train
272,D:\LocalUser\42177 Project\raw\Babesia\0109_144955_2.jpg,babesia,train
273,D:\LocalUser\42177 Project\raw\Babesia\0109_144955_3.jpg,babesia,train
274,D:\LocalUser\42177 Project\raw\Babesia\0109_145036_1.jpg,babesia,train
275,D:\LocalUser\42177 Project\raw\Babesia\0109_145036_2.jpg,babesia,train
276,D:\LocalUser\42177 Project\raw\Babesia\0109_145054_1.jpg,babesia,val
277,D:\LocalUser\42177 Project\raw\Babesia\0109_145054_2.jpg,babesia,train
278,D:\LocalUser\42177 Project\raw\Babesia\0109_145117_1.jpg,babesia,train
279,D:\LocalUser\42177 Project\raw\Babesia\0109_145117_2.jpg,babesia,val
280,D:\LocalUser\42177 Project\raw\Babesia\0109_145117_3.jpg,babesia,val
281,D:\LocalUser\42177 Project\raw\Babesia\0109_145117_4.jpg,babesia,val
282,D:\LocalUser\42177 Project\raw\Babesia\0109_145133_1.jpg,babesia,train
283,D:\LocalUser\42177 Project\raw\Babesia\0109_145133_2.jpg,babesia,train
284,D:\LocalUser\42177 Project\raw\Babesia\0109_145146_1.jpg,babesia,val
285,D:\LocalUser\42177 Project\raw\Babesia\0109_145146_2.jpg,babesia,test
286,D:\LocalUser\42177 Project\raw\Babesia\0109_145146_3.jpg,babesia,train
287,D:\LocalUser\42177 Project\raw\Babesia\0109_145241_1.jpg,babesia,test
288,D:\LocalUser\42177 Project\raw\Babesia\0109_145241_2.jpg,babesia,train
289,D:\LocalUser\42177 Project\raw\Babesia\0109_145241_3.jpg,babesia,train
290,D:\LocalUser\42177 Project\raw\Babesia\0109_145302_1.jpg,babesia,train
291,D:\LocalUser\42177 Project\raw\Babesia\0109_145302_2.jpg,babesia,val
292,D:\LocalUser\42177 Project\raw\Babesia\0109_145317_1.jpg,babesia,val
293,D:\LocalUser\42177 Project\raw\Babesia\0109_145317_2.jpg,babesia,train
294,D:\LocalUser\42177 Project\raw\Babesia\0109_145336_1.jpg,babesia,test
295,D:\LocalUser\42177 Project\raw\Babesia\0109_145336_2.jpg,babesia,test
296,D:\LocalUser\42177 Project\raw\Babesia\0109_145336_3.jpg,babesia,test
297,D:\LocalUser\42177 Project\raw\Babesia\0109_145336_4.jpg,babesia,train
298,D:\LocalUser\42177 Project\raw\Babesia\0109_145425_1.jpg,babesia,train
299,D:\LocalUser\42177 Project\raw\Babesia\0109_145425_2.jpg,babesia,train
300,D:\LocalUser\42177 Project\raw\Babesia\0109_145425_3.jpg,babesia,train
301,D:\LocalUser\42177 Project\raw\Babesia\0109_145425_4.jpg,babesia,test
302,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_1.jpg,babesia,val
303,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_2.jpg,babesia,train
304,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_3.jpg,babesia,train
305,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_4.jpg,babesia,train
306,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_5.jpg,babesia,train
307,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_6.jpg,babesia,test
308,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_7.jpg,babesia,train
309,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_8.jpg,babesia,val
310,D:\LocalUser\42177 Project\raw\Babesia\0109_145442_9.jpg,babesia,train
311,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_1.jpg,babesia,train
312,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_10.jpg,babesia,val
313,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_11.jpg,babesia,train
314,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_12.jpg,babesia,train
315,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_2.jpg,babesia,train
316,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_3.jpg,babesia,val
317,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_4.jpg,babesia,train
318,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_5.jpg,babesia,train
319,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_6.jpg,babesia,train
320,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_7.jpg,babesia,test
321,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_8.jpg,babesia,train
322,D:\LocalUser\42177 Project\raw\Babesia\0109_145455_9.jpg,babesia,val
323,D:\LocalUser\42177 Project\raw\Babesia\0109_145515_1.jpg,babesia,val
324,D:\LocalUser\42177 Project\raw\Babesia\0109_145515_10.jpg,babesia,train
325,D:\LocalUser\42177 Project\raw\Babesia\0109_145515_11.jpg,babesia,test
